CO2[ppm],roomID
368,1
368,1
368,1
354,1
354,1
354,1
354,1
354,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
354,1
354,1
354,1
354,1
354,1
354,1
354,1
354,1
354,1
354,1
364,1
364,1
364,1
364,1
364,1
353,1
353,1
353,1
353,1
353,1
357,1
357,1
357,1
357,1
357,1
358,1
358,1
358,1
358,1
358,1
360,1
360,1
360,1
360,1
360,1
355,1
355,1
355,1
355,1
355,1
355,1
355,1
355,1
355,1
355,1
363,1
363,1
363,1
363,1
363,1
355,1
355,1
355,1
355,1
355,1
362,1
362,1
362,1
362,1
362,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
358,1
360,1
360,1
360,1
360,1
360,1
355,1
355,1
355,1
355,1
355,1
362,1
362,1
362,1
